"CSIScontractID","LastSignedLastDateToOrder","LastUltimateCompletionDate","LastCurrentCompletionDate","SumOfnumberOfActions","SumofObligatedAmount","SumOfbaseandexercisedoptionsvalue","Sumofbaseandalloptionsvalue","StartFiscal_Year","maxoffiscal_year","IsIDV","idvpiid","piid","ContractLabelID","hyphenatedIDVpiid","CSISidvpiidID","IsPerformanceBasedLogistics","ContractingAgencyID","ContractingOfficeID","FundingAgencyID","FundingOfficeID","TypeOfContractPricing","systemequipmentcode","statutoryexceptiontofairopportunity","extentcompeted","IsCostBased","IsFixedPrice","IsIncentive","contractactiontype","ObligatedAmount","MinOfEffectiveDate","MaxOfEffectiveDate","ChangeOrderObligatedAmount","ChangeOrderBaseAndExercisedOptionsValue","ChangeOrderBaseAndAllOptionsValue","NewWorkObligatedAmount","NewWorkBaseAndExercisedOptionsValue","NewWorkBaseAndAllOptionsValue","SumOfUnmodifiedobligatedAmount","SumOfUnmodifiedbaseandexercisedoptionsvalue","SumOfUnmodifiedbaseandalloptionsvalue","UnmodifiedNumberOfOffersReceived","IsClosed","IsModified","IsTerminated","SumOfisChangeOrder","MaxOfisChangeOrder","SumOfisNewWork","MaxOfisNewWork","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsFollowonToCompetedAction","Unmodifiedmultipleorsingleawardidc","UnmodifiedAwardOrIDVcontractactiontype","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","MajorCommandID","simplearea","isAnyRnD1to5","obligatedAmountRnD1to5","firstSignedDateRnD1to5","UnmodifiedRnD1to5","ï..6964","X1","X0","X0.1","X1.1","X0.2","SINGLE.AWARD","X1.2","Indefinite.Delivery.Contract","NumberOfOffersReceived","IsFullAndOpen","IsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","multipleorsingleawardidc","addmultipleorsingawardidc","AwardOrIDVcontractactiontype"
18631082,NA,"11/30/2009","11/30/2009",14,1451214274,1451214274,1451214274,2008,2010,1,"M6785407D5032","6",NA,NA,63335,NA,"1700","M67854",NA,NA,"","0","","A",NA,TRUE,NA,NA,1451214274,"00:00.0","00:00.0",13165001.51,16094407.76,16094407.76,345765830.7,342600174.4,342600174.4,1048495692,1048495692,1048495692,NA,0,1,0,3,1,6,1,1,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2943","Products",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","1","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
25841356,NA,"9/30/2013","9/30/2013",29,85676243.7,85676243.7,85676243.7,2013,2013,1,"HTC71113DCC02","47",NA,NA,211222,NA,"9776","HTC711",NA,NA,"J","0","FAIR","A",NA,TRUE,NA,NA,85676243.7,"00:00.0","00:00.0",0,0,0,-3607145.355,-3607145.355,-3607145.355,92952840,92952840,92952840,NA,1,1,1,0,0,18,1,0,1,NA,NA,"MULTIPLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","","Services",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","0","1","NULL","NULL","MULTIPLE AWARD","1","Indefinite Delivery Contract"
21464837,NA,"8/24/2009","8/24/2009",1,4136,4136,4136,2009,2009,1,"SPM2DX08D1682","AF90",NA,NA,327433,NA,"97AS","SPM2DX",NA,NA,"J","0","","A",NA,TRUE,NA,NA,4136,"00:00.0","00:00.0",0,0,0,0,0,0,4136,4136,4136,4,0,0,0,0,0,0,0,1,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2785","Products",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
8098388,NA,"4/30/2009","4/30/2009",289,8813018,8813018,8813018,2009,2009,0,"","W911S009PV004",NA,NA,23356,NA,"2100","W911S0",NA,NA,"J","0","","A",NA,TRUE,NA,NA,8813018,"00:00.0","00:00.0",0,0,0,0,0,0,8813018,8813018,8813018,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,"Purchase Order","00:00.0","00:00.0","","ORG-2877","Products",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","NULL","NULL","NULL","0","Purchase Order"
24868084,NA,"8/2/2008","8/2/2008",6,5141138.37,5141138.37,5141138.37,2007,2009,1,"W912P907D0503","1",NA,NA,113032,NA,"2100","W912P9",NA,NA,"J","0","","A",NA,TRUE,NA,NA,5141138.37,"00:00.0","00:00.0",28347.37,28347.37,28347.37,0,0,0,5112791,5112791,5112791,NA,0,1,0,4,1,0,0,1,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2872","Services",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
3399474,NA,"6/30/2012","6/30/2012",3,210665,210665,210665,2012,2012,0,"","N4044212P1012",NA,NA,23356,NA,"1700","N40442",NA,NA,"J","0","","F",NA,TRUE,NA,NA,210665,"00:00.0","00:00.0",0,0,0,0,0,0,210665,210665,210665,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA,"Purchase Order","00:00.0","00:00.0","","ORG-2939","Products",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0","1","NULL","NULL","NULL","0","Purchase Order"
9125135,NA,"2/7/2008","2/7/2008",12,146114525.9,146114525.9,158886675.9,2007,2009,1,"DAAB0700DE252","93",NA,NA,358802,NA,"2100","W15P7T",NA,NA,"","0","","A",NA,NA,NA,NA,146114525.9,"00:00.0","00:00.0",13930347,13930347,13930347,104030278.9,104030278.9,104030278.9,12772150,12772150,25544300,NA,0,1,0,1,1,8,1,1,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2877","Services",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
19056843,NA,"4/30/2012","4/30/2012",5,331657.96,331657.96,331657.96,2011,2012,1,"N4425505D7100","869",NA,NA,307280,NA,"1700","N44255",NA,NA,"J","0","","D",NA,TRUE,NA,NA,331657.96,"00:00.0","00:00.0",14924.18,14924.18,14924.18,117989.19,117989.19,117989.19,198744.59,198744.59,198744.59,NA,0,1,0,1,1,3,1,0,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2940","Services",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
18632104,NA,"3/24/2013","3/24/2013",18,281632285.1,283670894.7,283670894.7,2008,2013,1,"M6785408D7036","1",NA,NA,191883,NA,"1700","M67854",NA,NA,"","0","","A",NA,TRUE,NA,NA,281632285.1,"00:00.0","00:00.0",10497864,10497864,10497864,0,0,0,132893640,132893640,132893640,NA,0,1,0,1,1,0,0,1,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2943","Products",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
18686718,NA,"3/30/2012","3/30/2012",4,2499150,2499150,2499150,2010,2011,1,"N0002409D5212","8",NA,NA,282302,NA,"1700","N00024",NA,NA,"J","0","","D",NA,TRUE,NA,NA,2499150,"00:00.0","00:00.0",0,0,0,4716,4716,4716,2494434,2494434,2494434,NA,0,1,0,0,0,1,1,0,1,NA,NA,"SINGLE AWARD","Indefinite Delivery Contract","00:00.0","00:00.0","","ORG-2941","Products",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","0","1","NULL","NULL","SINGLE AWARD","1","Indefinite Delivery Contract"
